region,year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
Sub-Saharan Africa,2000,665327581.00,294882281.00,350447711.00,19997589.00,21.00,11445272.00
Sub-Saharan Africa,2001,682956070.00,302551766.00,359900058.00,20504246.00,802.00,17046727.00
Sub-Saharan Africa,2002,701066167.00,310185724.00,369913300.00,20967143.00,7120.00,25098099.00
Sub-Saharan Africa,2003,719716209.00,317886617.00,380432417.00,21397175.00,31232.00,35687633.00
Sub-Saharan Africa,2004,738983255.00,325783158.00,391392980.00,21807117.00,84939.00,54326215.00
Sub-Saharan Africa,2005,758924681.00,333946844.00,402771608.00,22206229.00,221153.00,90481592.00
Sub-Saharan Africa,2006,779566820.00,342963418.00,413761420.00,22841983.00,481620.00,135536132.00
Sub-Saharan Africa,2007,800908534.00,352123370.00,425323056.00,23462107.00,671709.00,184823755.00
Sub-Saharan Africa,2008,822945457.00,361419245.00,437458055.00,24068157.00,801225.00,261134055.00
Sub-Saharan Africa,2009,845655214.00,370804676.00,450189755.00,24660783.00,992116.00,316759771.00
Sub-Saharan Africa,2010,869025106.00,380246651.00,463533756.00,25244699.00,1355449.00,387953348.00
Sub-Saharan Africa,2011,893046172.00,390233935.00,476776747.00,26035489.00,1763300.00,471725456.00
Sub-Saharan Africa,2012,914476874.00,398811952.00,488982315.00,26682607.00,2095874.00,544447623.00
Sub-Saharan Africa,2013,939759620.00,408612095.00,503687189.00,27460337.00,2972291.00,618078263.00
Sub-Saharan Africa,2014,965648338.00,418346594.00,519056431.00,28245319.00,3617075.00,680980334.00
Sub-Saharan Africa,2015,992115660.00,428002202.00,535067156.00,29046302.00,3653761.00,751999585.00
Sub-Saharan Africa,2016,1019149983.00,437959186.00,551144807.00,30045989.00,3850074.00,752397549.00
Sub-Saharan Africa,2017,1046740781.00,447707782.00,567985147.00,31047851.00,3863247.00,765230621.00
Sub-Saharan Africa,2018,1074853734.00,457249633.00,585542658.00,32061442.00,4448688.00,820446890.00
Sub-Saharan Africa,2019,1103460781.00,466596359.00,603767640.00,33096782.00,4919067.00,860887155.00
